"","id","t","marca","A","B","C","D","E","F","G"
"171",91,136,2,6.01,8.33,2.265,3.88,0.045,0,0
"172",91,190,3,8.92,11.46,2.35,3.88,1.57,0.84,0
"173",91,261,3,11.04,11.46,2.35,3.88,4.3,0.84,0
"174",92,166,7,5.56,7.36,2.45,0,2.5,4.33,0
"175",92,193,7,8.22,9.8,2.45,0,2.5,8.24,0
"176",93,234,6,16.05,0.83,0,0,0,3.89,0.23
"177",94,177,1,8.22,5.19,4.05,0,4.7,5.16,0
"178",94,245,2,17.63,7.58,4.05,0.54,9.68,5.28,0
"179",94,284,2,19.73,7.58,4.05,0.54,9.68,8.11,0
"180",94,317,7,20.3,7.58,4.05,0.54,9.68,8.11,0
"181",94,355,7,20.93,7.58,10.63,0.54,9.68,8.11,0
"182",95,135,1,5.67,0.93,0,0,0,0.57,0
"183",96,90,7,4.95,1.82,0,0,0,3,1.05
"184",96,111,4,8.41,2.99,0,0,0,3,1.05
"185",96,146,7,9.81,2.99,0,0,0,3.12,1.05
"186",97,239,3,15.59,8.69,4.08,0,5.3,3.02,0
"187",98,84,1,7.915,0.75,0,0.85,0,1.78,0
"188",98,245,1,15.145,0.75,0,1.31,1.48,4.8,0
"189",99,33,7,3.09,3.03,0,0,0,2.64,0
"190",99,159,2,10.87,6.255,7.09,0,2.45,10.26,0
"191",99,201,2,15.49,7.605,7.09,0,3.23,16.55,0
"192",100,76,1,6.54,0.67,0,0,0,4.14,0.27
"193",100,91,1,10.51,0.67,0,0,0,4.14,0.27
"194",100,341,1,24.15,7.52,2.445,1.21,2.22,6.68,0.27
"195",101,68,7,4.69,0,0,1.06,0,2.04,0
"196",102,316,1,10.57,0.67,0,0,2.61,3.88,3.91
"197",103,0,1,2.87,0,0,0,0,2.39,0
"198",103,110,4,7.91,4.845,2.035,0,0,3.39,0
"199",103,211,6,12.55,6.745,2.035,0,3.41,6.24,0
"200",103,334,4,15.75,6.77,9.73,0,3.41,6.7,0
"201",103,348,1,15.75,6.77,16.19,0,3.41,6.7,0
"202",104,139,7,2.42,0,0,0,0,2.1,1.11
