"","id","bloque","defi_estim","estim","num_estim","error","cong","latencia"
"1142",9,"5","Coca Cola,Pepsi","Foto Pepsi",1,0,0,523
"1143",9,"5","Coca Cola,Pepsi","Foto Coke",2,0,0,567
"1144",9,"5","Coca Cola,Pepsi","Foto Pepsi",3,0,0,568
"1145",9,"5","Coca Cola,Pepsi","Foto Pepsi",4,0,0,572
"1146",9,"5","Coca Cola,Pepsi","Foto Pepsi",5,0,0,563
"1147",9,"5","Coca Cola,Pepsi","Foto Pepsi",6,0,0,465
"1148",9,"5","Coca Cola,Pepsi","Foto Coke",7,0,0,495
"1149",9,"5","Coca Cola,Pepsi","Foto Pepsi",8,1,0,1272
"1150",9,"5","Coca Cola,Pepsi","Foto Pepsi",9,0,0,428
"1151",9,"5","Coca Cola,Pepsi","Foto Coke",10,0,0,674
"1152",9,"5","Coca Cola,Pepsi","Foto Pepsi",11,0,0,615
"1153",9,"5","Coca Cola,Pepsi","Foto Coke",12,0,0,530
"1154",9,"5","Coca Cola,Pepsi","Foto Coke",13,0,0,507
"1155",9,"5","Coca Cola,Pepsi","Foto Pepsi",14,0,0,591
"1156",9,"5","Coca Cola,Pepsi","Foto Pepsi",15,0,0,589
"1157",9,"5","Coca Cola,Pepsi","Foto Coke",16,0,0,608
"1158",9,"5","Coca Cola,Pepsi","Foto Pepsi",17,0,0,723
"1159",9,"5","Coca Cola,Pepsi","Foto Coke",18,0,0,518
"1160",9,"5","Coca Cola,Pepsi","Foto Pepsi",19,0,0,518
"1161",9,"5","Coca Cola,Pepsi","Foto Coke",20,0,0,520
"1162",9,"5","Coca Cola,Pepsi","Foto Coke",21,0,0,870
"1163",9,"5","Coca Cola,Pepsi","Foto Coke",22,0,0,593
"1164",9,"5","Coca Cola,Pepsi","Foto Coke",23,0,0,600
"1165",9,"5","Coca Cola,Pepsi","Foto Coke",24,0,0,562
"1166",9,"5","Coca Cola,Pepsi","Foto Coke",25,0,0,491
"1167",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",0,1,0,3045
"1168",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Solidaria",1,0,0,1097
"1169",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",2,0,0,868
"1170",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Aburrida",3,0,0,902
"1171",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",4,0,0,574
"1172",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Alegre",5,0,0,548
"1173",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",6,0,0,576
"1174",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Comprometida",7,0,0,581
"1175",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",8,0,0,605
"1176",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Deshonesta",9,0,0,611
"1177",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",10,0,0,573
"1178",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Amistosa",11,0,0,560
"1179",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",12,1,0,1253
"1180",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Egoista",13,0,0,587
"1181",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",14,0,0,774
"1182",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Desagradable",15,0,0,628
"1183",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",16,0,0,562
"1184",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Desagradable",17,0,0,618
"1185",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",18,0,0,564
"1186",9,"6","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Alegre",19,0,0,652
"1187",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",0,0,0,1740
"1188",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Solidaria",1,0,0,770
"1189",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",2,1,0,1147
"1190",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Alegre",3,0,0,626
"1191",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",4,0,0,545
"1192",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Amistosa",5,0,0,513
"1193",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",6,0,0,761
"1194",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Deshonesta",7,0,0,960
"1195",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",8,0,0,608
"1196",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Comprometida",9,0,0,472
"1197",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",10,0,0,470
"1198",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Desagradable",11,0,0,459
"1199",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Coke",12,0,0,524
"1200",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Aburrida",13,0,0,498
"1201",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",14,0,0,465
"1202",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Solidaria",15,1,0,804
"1203",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",16,0,0,966
